hazard.ratio,low.bound,upper.bound,percentile,cutoff.value,pval,hazard.direction,log10p,k_col,cluster,chosen
9240995.00847384,0,Inf,0.01,4.5025721962817344e-8,0.9978389166026542,>=1,9.395621965959078e-4,Cluster_k3,1,TRUE
85287234.61703697,0,Inf,0.02,4.580173478725098e-8,0.99802875520343,>=1,8.569456402154994e-4,Cluster_k3,1,FALSE
136698934.13210478,0,Inf,0.03,5.741767691117582e-8,0.9974266377597824,>=1,0.0011190374836036391,Cluster_k3,1,FALSE
128962480.02947953,0,Inf,0.04,7.991512437847921e-8,0.997226033452607,>=1,0.001206392385239795,Cluster_k3,1,FALSE
126528179.52328679,0,Inf,0.05,8.780343501318941e-8,0.9971526536138979,>=1,0.0012383506680426848,Cluster_k3,1,FALSE
4.685515744234271,0.5727084076769413,38.33374452894584,0.060000000000000005,8.863890339545932e-8,0.14980727513098469,>=1,0.8244670953647131,Cluster_k3,1,FALSE
4.8183757861642125,0.592190904601594,39.20483248947066,0.06999999999999999,9.963660367920397e-8,0.14152740452088453,>=1,0.8491594578086343,Cluster_k3,1,FALSE
5.037855244607378,0.6240718337725006,40.66837195999795,0.08,1.137269180023782e-7,0.12914413677018388,>=1,0.8889253063017968,Cluster_k3,1,FALSE
5.037855244607378,0.6240718337725006,40.66837195999795,0.09,1.2806400594953714e-7,0.12914413677018388,>=1,0.8889253063017968,Cluster_k3,1,FALSE
5.6335606446619035,0.7091520457506918,44.75345693106954,0.09999999999999999,1.4865441410898505e-7,0.10206388957678128,>=1,0.9911278850578226,Cluster_k3,1,FALSE
6.169590213232301,0.7851649266086783,48.47878720668146,0.11,1.5775788553466857e-7,0.08362771410147585,>=1,1.077649774154863,Cluster_k3,1,FALSE
6.254385002457447,0.7974213177126684,49.05478558206746,0.12,1.628318509715545e-7,0.08106345983141006,>=1,1.0911748642801922,Cluster_k3,1,FALSE
6.489672685279662,0.8309727373473607,50.6825912201495,0.13,2.0325711387578084e-7,0.07452114976732355,>=1,1.1277204531081622,Cluster_k3,1,FALSE
